status,ticker,company_name,source_path,target_path,mapping_source_level,chain_code,chain_name,position,subcategory,choice_count,note
moved,6208,日揚,Pilot_Reports/6208_日揚.md,Pilot_Reports/6208_日揚.md,raw_member,D000,半導體,中游,生產製程及檢測設備,1,
moved,6215,和椿,Pilot_Reports/6215_和椿.md,Pilot_Reports/6215_和椿.md,raw_member,X000,其他,上游,其他電子產品及電子服務產業,1,
moved,6438,迅得,Pilot_Reports/6438_迅得.md,Pilot_Reports/6438_迅得.md,raw_member,D000,半導體,中游,生產製程及檢測設備,4,
moved,6603,富強鑫,Pilot_Reports/6603_富強鑫.md,Pilot_Reports/6603_富強鑫.md,raw_member,P000,電機機械,下游,專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等),1,
moved,6606,建德工業,Pilot_Reports/6606_建德工業.md,Pilot_Reports/6606_建德工業.md,raw_member,P000,電機機械,下游,金屬加工用機械,2,
moved,6613,朋億,Pilot_Reports/6613_朋億.md,Pilot_Reports/6613_朋億.md,map,D000,半導體,中游,生產製程及檢測設備,3,
moved,6618,永虹先進,Pilot_Reports/6618_永虹先進.md,Pilot_Reports/6618_永虹先進.md,raw_member,N000,石化及塑橡膠,下游,人造纖維,4,
moved,6639,源大環能,Pilot_Reports/6639_源大環能.md,Pilot_Reports/6639_源大環能.md,raw_member,AB10,汽電共生,上游,規劃設計,3,
moved,6654,天正國際,Pilot_Reports/6654_天正國際.md,Pilot_Reports/6654_天正國際.md,raw_member,X000,其他,上游,其他電子產品及電子服務產業,1,
moved,6664,群翊,Pilot_Reports/6664_群翊.md,Pilot_Reports/6664_群翊.md,raw_member,D000,半導體,中游,生產製程及檢測設備,6,
moved,6667,信紘科,Pilot_Reports/6667_信紘科.md,Pilot_Reports/6667_信紘科.md,raw_member,D000,半導體,中游,生產製程及檢測設備,3,
moved,6706,惠特,Pilot_Reports/6706_惠特.md,Pilot_Reports/6706_惠特.md,raw_member,D000,半導體,中游,生產製程及檢測設備,4,
moved,6725,矽科宏晟,Pilot_Reports/6725_矽科宏晟.md,Pilot_Reports/6725_矽科宏晟.md,raw_member,D000,半導體,中游,生產製程及檢測設備,3,
moved,6727,亞泰金屬,Pilot_Reports/6727_亞泰金屬.md,Pilot_Reports/6727_亞泰金屬.md,raw_member,L000,印刷電路板,上游,生產製程及檢測設備,1,
moved,6793,天力離岸,Pilot_Reports/6793_天力離岸.md,Pilot_Reports/6793_天力離岸.md,raw_member,AB20,風力發電,上游,葉片,1,
moved,6812,梭特,Pilot_Reports/6812_梭特.md,Pilot_Reports/6812_梭特.md,raw_member,D000,半導體,中游,生產製程及檢測設備,2,
moved,6829,千附精密,Pilot_Reports/6829_千附精密.md,Pilot_Reports/6829_千附精密.md,raw_member,D000,半導體,中游,生產製程及檢測設備,3,
moved,6831,邁科,Pilot_Reports/6831_邁科.md,Pilot_Reports/6831_邁科.md,raw_member,F000,電腦及週邊設備,上游,散熱片、風扇馬達、散熱模組,1,
moved,6909,創控,Pilot_Reports/6909_創控.md,Pilot_Reports/6909_創控.md,raw_member,D000,半導體,中游,生產製程及檢測設備,1,
moved,6982,大井泵浦,Pilot_Reports/6982_大井泵浦.md,Pilot_Reports/6982_大井泵浦.md,raw_member,P000,電機機械,上游,傳動元件,1,
moved,7730,暉盛-創,Pilot_Reports/7730_暉盛-創.md,Pilot_Reports/7730_暉盛-創.md,raw_member,D000,半導體,中游,生產製程及檢測設備,4,
moved,7795,長廣,Pilot_Reports/7795_長廣.md,Pilot_Reports/7795_長廣.md,raw_member,D000,半導體,中游,生產製程及檢測設備,3,
moved,7828,創新服務,Pilot_Reports/7828_創新服務.md,Pilot_Reports/7828_創新服務.md,raw_member,D000,半導體,中游,生產製程及檢測設備,2,
moved,8027,鈦昇,Pilot_Reports/8027_鈦昇.md,Pilot_Reports/8027_鈦昇.md,raw_member,D000,半導體,中游,生產製程及檢測設備,4,
moved,8047,星雲,Pilot_Reports/8047_星雲.md,Pilot_Reports/8047_星雲.md,raw_member,X000,其他,上游,其他電子產品及電子服務產業,1,
moved,8092,建暐,Pilot_Reports/8092_建暐.md,Pilot_Reports/8092_建暐.md,raw_member,D000,半導體,下游,生產製程及檢測設備,3,
moved,8383,千附,Pilot_Reports/8383_千附.md,Pilot_Reports/8383_千附.md,raw_member,D000,半導體,中游,生產製程及檢測設備,8,
moved,8421,旭源,Pilot_Reports/8421_旭源.md,Pilot_Reports/8421_旭源.md,raw_member,P000,電機機械,下游,專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等),2,
