ticker,company_name,theme_id,theme_tag,role,source_path,matched_text,confidence,status
5543,桓鼎-KY,theme.leo_satellite,低軌衛星,downstream,supply_chain.downstream[2],低軌衛星,high,needs_review
5607,遠雄港,theme.ai_server,AI 伺服器,related,business.summary,AI 伺服器,high,needs_review
5607,遠雄港,theme.ai_server,AI 伺服器,downstream,supply_chain.downstream[2],AI 伺服器,high,needs_review
5607,遠雄港,theme.nvidia_supply_chain,NVIDIA 供應鏈,downstream,supply_chain.downstream[2],NVIDIA,medium,needs_review
5607,遠雄港,theme.ai_server,AI 伺服器,downstream,supply_chain.downstream[4],AI 伺服器,high,needs_review
5607,遠雄港,theme.nvidia_supply_chain,NVIDIA 供應鏈,downstream,relationships.customers[1],NVIDIA,medium,needs_review
5607,遠雄港,theme.ai_server,AI 伺服器,downstream,relationships.customers[3],AI 伺服器,high,needs_review
5609,中菲行,theme.ai_server,AI 伺服器,related,business.summary,AI 伺服器,high,needs_review
5609,中菲行,theme.ai_server,AI 伺服器,downstream,supply_chain.downstream[2],AI 伺服器,high,needs_review
5609,中菲行,theme.ai_server,AI 伺服器,downstream,relationships.customers[1],AI 伺服器,high,needs_review
6104,創惟,theme.apple_supply_chain,Apple 供應鏈,downstream,relationships.customers[0],蘋果,medium,needs_review
6114,久威,theme.apple_supply_chain,Apple 供應鏈,downstream,supply_chain.downstream[1],Apple,medium,needs_review
6114,久威,theme.apple_supply_chain,Apple 供應鏈,downstream,relationships.customers[0],Apple,medium,needs_review
6116,彩晶,theme.ev,電動車,related,business.summary,電動車,high,needs_review
6117,迎廣,theme.nvidia_supply_chain,NVIDIA 供應鏈,downstream,relationships.customers[0],NVIDIA,medium,needs_review
6117,迎廣,theme.data_center,資料中心,downstream,relationships.customers[0],資料中心,high,needs_review
6117,迎廣,theme.nvidia_supply_chain,NVIDIA 供應鏈,upstream,relationships.suppliers[0],NVIDIA,medium,needs_review
6121,新普,theme.data_center,資料中心,related,business.summary,資料中心,high,needs_review
6121,新普,theme.apple_supply_chain,Apple 供應鏈,downstream,relationships.customers[0],Apple,medium,needs_review
6123,上奇,theme.ev,電動車,related,business.summary,電動車,high,needs_review
6125,廣運,theme.data_center,資料中心,related,business.summary,資料中心,high,needs_review
6133,金橋,theme.leo_satellite,低軌衛星,related,business.summary,低軌衛星,high,needs_review
6134,萬旭,theme.ai_server,AI 伺服器,related,business.summary,AI 伺服器,high,needs_review
6134,萬旭,theme.leo_satellite,低軌衛星,related,business.summary,低軌衛星,high,needs_review
