ticker,company_name,source_md,rendered_md,source_wikilinks,rendered_wikilinks,missing_wikilinks,missing_source_sections,financial_preserved,competitor_count
6147,頎邦,Pilot_Reports/Semiconductor Equipment & Materials/6147_頎邦.md,output/enrichment_all_rendered/6147_頎邦.md,12,12,,,true,1
6148,驊宏資,Pilot_Reports/Communication Equipment/6148_驊宏資.md,output/enrichment_all_rendered/6148_驊宏資.md,12,17,,,true,1
6150,撼訊,Pilot_Reports/Electronics & Computer Distribution/6150_撼訊.md,output/enrichment_all_rendered/6150_撼訊.md,6,11,,,true,1
6151,晉倫,Pilot_Reports/Specialty Chemicals/6151_晉倫.md,output/enrichment_all_rendered/6151_晉倫.md,12,16,,,true,1
6152,百一,Pilot_Reports/Communication Equipment/6152_百一.md,output/enrichment_all_rendered/6152_百一.md,10,15,,,true,1
6153,嘉聯益,Pilot_Reports/Electronic Components/6153_嘉聯益.md,output/enrichment_all_rendered/6153_嘉聯益.md,9,14,,,true,1
6154,順發,Pilot_Reports/Electronics & Computer Distribution/6154_順發.md,output/enrichment_all_rendered/6154_順發.md,5,10,,,true,1
6155,鈞寶,Pilot_Reports/Electronic Components/6155_鈞寶.md,output/enrichment_all_rendered/6155_鈞寶.md,5,10,,,true,1
6156,松上,Pilot_Reports/Electronic Components/6156_松上.md,output/enrichment_all_rendered/6156_松上.md,5,10,,,true,1
6158,禾昌,Pilot_Reports/Electronic Components/6158_禾昌.md,output/enrichment_all_rendered/6158_禾昌.md,3,8,,,true,1
6160,欣技,Pilot_Reports/Business Equipment & Supplies/6160_欣技.md,output/enrichment_all_rendered/6160_欣技.md,6,11,,,true,1
6161,捷波,Pilot_Reports/Computer Hardware/6161_捷波.md,output/enrichment_all_rendered/6161_捷波.md,12,17,,,true,1
6163,華電網,Pilot_Reports/Telecom Services/6163_華電網.md,output/enrichment_all_rendered/6163_華電網.md,17,21,,,true,1
6164,華興,Pilot_Reports/Electrical Equipment & Parts/6164_華興.md,output/enrichment_all_rendered/6164_華興.md,3,8,,,true,1
6165,浪凡,Pilot_Reports/Electronic Components/6165_浪凡.md,output/enrichment_all_rendered/6165_浪凡.md,8,13,,,true,1
6166,凌華,Pilot_Reports/Computer Hardware/6166_凌華.md,output/enrichment_all_rendered/6166_凌華.md,16,21,,,true,1
6167,久正,Pilot_Reports/Electronic Components/6167_久正.md,output/enrichment_all_rendered/6167_久正.md,6,11,,,true,1
6168,宏齊,Pilot_Reports/Semiconductors/6168_宏齊.md,output/enrichment_all_rendered/6168_宏齊.md,8,8,,,true,1
6170,統振,Pilot_Reports/Telecom Services/6170_統振.md,output/enrichment_all_rendered/6170_統振.md,5,9,,,true,1
6171,大城地產,Pilot_Reports/Real Estate - Development/6171_大城地產.md,output/enrichment_all_rendered/6171_大城地產.md,4,9,,,true,1
6173,信昌電,Pilot_Reports/Semiconductor Equipment & Materials/6173_信昌電.md,output/enrichment_all_rendered/6173_信昌電.md,7,12,,,true,1
6174,安��,Pilot_Reports/Electronic Components/6174_安��.md,output/enrichment_all_rendered/6174_安��.md,7,7,,,true,1
6175,立敦,Pilot_Reports/Aluminum/6175_立敦.md,output/enrichment_all_rendered/6175_立敦.md,16,18,,,true,1
6176,瑞儀,Pilot_Reports/Electronic Components/6176_瑞儀.md,output/enrichment_all_rendered/6176_瑞儀.md,15,20,,,true,1
6177,達麗,Pilot_Reports/Real Estate - Development/6177_達麗.md,output/enrichment_all_rendered/6177_達麗.md,5,10,,,true,1
6179,亞通,Pilot_Reports/Engineering & Construction/6179_亞通.md,output/enrichment_all_rendered/6179_亞通.md,8,13,,,true,1
6182,合晶,Pilot_Reports/Semiconductor Equipment & Materials/6182_合晶.md,output/enrichment_all_rendered/6182_合晶.md,11,16,,,true,1
6183,關貿,Pilot_Reports/Specialty Business Services/6183_關貿.md,output/enrichment_all_rendered/6183_關貿.md,10,16,,,true,1
